,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0143586,0.00147248,0.00152589,0.0016861,0.00286867,0.0188295,0.0434649,0.10431,0.131722,0.14927,0.152802,0.152497,0.152574,0.152711,0.15268,0.15252,0.152848,0.152688,0.152925,0.152345,0.152596,0.150628,0.138062,0.105324,0.0867009,0.0166703,0.00408176,0.000106812,9.91826e-05,0.000144959
1,0.0130082,0.00146485,0.00152589,0.00164033,0.00289918,0.0147172,0.0449374,0.104088,0.132813,0.148675,0.152894,0.152345,0.152635,0.152596,0.152848,0.152513,0.153039,0.152696,0.152986,0.152375,0.152841,0.151261,0.13765,0.108658,0.0871663,0.0204774,0.00511935,0.000106812,0.000122071,0.000144959
2,0.0127183,0.00146485,0.00152589,0.00165559,0.00284578,0.0151063,0.0448687,0.104638,0.133279,0.148767,0.15297,0.152474,0.152688,0.152528,0.152345,0.152505,0.152574,0.152635,0.151017,0.152467,0.152841,0.151147,0.135415,0.108239,0.0865483,0.0204164,0.00482944,9.91826e-05,0.000160218,0.000144959
3,0.0124131,0.00147248,0.00151826,0.00164033,0.00275423,0.016205,0.0440676,0.106049,0.133897,0.14924,0.153062,0.152398,0.152558,0.152429,0.146531,0.15252,0.14586,0.152558,0.141862,0.15252,0.147073,0.150674,0.126229,0.106202,0.0851521,0.0189363,0.00321199,9.15532e-05,0.000205995,0.000152589
4,0.0110322,0.00148011,0.001503,0.0016327,0.00242616,0.0167695,0.0417407,0.106759,0.133431,0.149468,0.153153,0.15239,0.152421,0.152345,0.12703,0.152421,0.11776,0.152383,0.103249,0.152291,0.123635,0.150086,0.0885167,0.106141,0.0580218,0.0173799,0.000991829,9.91826e-05,0.000236512,0.000160218
5,0.00977331,0.00148011,0.00149537,0.0016327,0.00178529,0.0166703,0.028412,0.106789,0.118859,0.149461,0.146241,0.152314,0.146256,0.152184,0.102944,0.152207,0.0501482,0.151628,0.03389,0.152131,0.0488894,0.148461,0.0208207,0.10553,0.0130768,0.0157319,0.000442507,0.000144959,0.00027466,0.000175477
6,0.0103989,0.00147248,0.00148011,0.00161744,0.00160981,0.0155106,0.0121613,0.106575,0.0689473,0.149217,0.123665,0.152207,0.125741,0.150216,0.0861287,0.146035,0.0251924,0.14454,0.00914007,0.146569,0.0167085,0.140061,0.00325777,0.102952,0.00192261,0.0118561,0.000495914,0.000205995,0.000312807,0.000183106
7,0.0111466,0.00147248,0.00144959,0.00159455,0.00157929,0.0139008,0.00509647,0.105111,0.0322802,0.149217,0.0724721,0.152261,0.0778661,0.14634,0.0422366,0.127969,0.0101319,0.121789,0.00346376,0.128839,0.00533298,0.114701,0.00157929,0.0875249,0.000999458,0.00506595,0.000526432,0.000251772,0.000335695,0.000213624
8,0.00791937,0.00143433,0.00141907,0.00156403,0.00156403,0.00679019,0.00249483,0.0793233,0.0101929,0.137856,0.0263826,0.143434,0.0275041,0.137086,0.00839239,0.0835423,0.00305177,0.039696,0.00234987,0.0483172,0.00250246,0.0342867,0.00125123,0.0223466,0.00080872,0.00102235,0.000518803,0.000320436,0.000343325,0.000251772
9,0.00675967,0.0014267,0.00141907,0.00152589,0.00158692,0.00310518,0.00200655,0.036339,0.00404361,0.0998769,0.00756076,0.113312,0.00772861,0.116723,0.00325777,0.0520175,0.00283815,0.0109864,0.00282289,0.0150376,0.00215913,0.00799567,0.00115968,0.00341798,0.000785831,0.000701908,0.000518803,0.000366213,0.000358583,0.000282289
10,0.00662997,0.0014267,0.00143433,0.00148774,0.00179292,0.00222017,0.00259401,0.0174409,0.0110016,0.0487292,0.0126496,0.0589221,0.0128708,0.0655065,0.00822455,0.020691,0.00865179,0.00402072,0.0110856,0.00510409,0.00356294,0.00311281,0.00114442,0.00154115,0.000785831,0.000656132,0.000526432,0.000381472,0.000373842,0.000305178
11,0.00575259,0.00141907,0.00144196,0.00146485,0.00250246,0.00180817,0.00856787,0.00518802,0.0332339,0.016739,0.0329134,0.0217973,0.033478,0.0224611,0.0265123,0.00545505,0.0277787,0.00251772,0.0345232,0.00271608,0.0144807,0.00205995,0.00115968,0.00122834,0.000778202,0.000633243,0.000526432,0.00040436,0.000381472,0.000328066
12,0.00399783,0.00141145,0.00144959,0.00143433,0.00734714,0.00167847,0.0408556,0.00247957,0.0664525,0.00492862,0.0641561,0.00608066,0.0636754,0.00507358,0.0593417,0.00278474,0.060097,0.00256349,0.0648122,0.00225069,0.0403445,0.00179292,0.00120545,0.00113679,0.000755314,0.000617985,0.000526432,0.000419619,0.000381472,0.000350954
