,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,1.819e-12,1.819e-12,1.59162e-12,1.819e-12,2.50112e-12,2.95587e-12,2.7285e-12,3.41062e-12,2.95587e-12,3.18325e-12,2.27375e-12,3.18325e-12,2.95587e-12,3.63801e-12,2.7285e-12,2.50112e-12,3.63801e-12,3.86538e-12,3.63801e-12,4.5475e-12,3.41062e-12,4.32013e-12,3.18325e-12,2.95587e-12,3.63801e-12,3.63801e-12,3.86538e-12,3.41062e-12,3.86538e-12,3.18325e-12,3.63801e-12,3.86538e-12,3.86538e-12,3.63801e-12,4.32013e-12,4.32013e-12,4.32013e-12,4.09275e-12,4.5475e-12,5.00225e-12,4.77487e-12,5.68437e-12,5.00225e-12,5.22962e-12,5.457e-12,6.13912e-12,5.457e-12,6.13912e-12,5.91174e-12,5.68437e-12,5.22962e-12,5.91174e-12,4.32013e-12,3.86538e-12,1.0823e-10,5.85263e-10,5.92539e-10,5.05228e-10,7.59432e-10,7.63524e-10,8.4697e-10,8.84942e-10,1.16962e-09,1.32537e-09,5.45473e-10
1,2.50112e-12,1.819e-12,2.04638e-12,2.27375e-12,1.819e-12,3.41062e-12,2.50112e-12,2.95587e-12,3.18325e-12,2.95587e-12,2.27375e-12,2.7285e-12,2.95587e-12,2.95587e-12,2.95587e-12,3.63801e-12,3.41062e-12,2.95587e-12,3.41062e-12,3.18325e-12,2.95587e-12,3.63801e-12,3.63801e-12,4.09275e-12,3.41062e-12,3.18325e-12,2.95587e-12,2.95587e-12,2.95587e-12,2.50112e-12,3.63801e-12,3.18325e-12,3.63801e-12,3.18325e-12,4.32013e-12,3.86538e-12,4.09275e-12,4.5475e-12,4.77487e-12,4.77487e-12,4.5475e-12,5.22962e-12,4.77487e-12,5.22962e-12,5.457e-12,6.13912e-12,5.91174e-12,6.13912e-12,5.91174e-12,6.13912e-12,6.36649e-12,5.91174e-12,4.77487e-12,2.95587e-12,3.63801e-12,5.6912e-10,6.07091e-10,4.91585e-10,7.52838e-10,7.38059e-10,8.29235e-10,8.70845e-10,1.10573e-09,1.32719e-09,4.24281e-10
2,2.27375e-12,2.04638e-12,2.27375e-12,2.27375e-12,3.18325e-12,2.95587e-12,2.50112e-12,2.95587e-12,2.27375e-12,2.7285e-12,3.18325e-12,2.95587e-12,3.63801e-12,3.18325e-12,3.41062e-12,2.7285e-12,3.86538e-12,3.41062e-12,3.63801e-12,4.5475e-12,3.63801e-12,2.95587e-12,3.18325e-12,2.95587e-12,3.63801e-12,3.86538e-12,2.95587e-12,3.63801e-12,3.63801e-12,3.41062e-12,3.63801e-12,3.63801e-12,3.63801e-12,3.63801e-12,4.09275e-12,3.63801e-12,4.09275e-12,4.32013e-12,4.32013e-12,4.77487e-12,4.77487e-12,4.77487e-12,5.22962e-12,5.22962e-12,6.13912e-12,6.36649e-12,5.00225e-12,6.82124e-12,6.36649e-12,5.68437e-12,5.457e-12,5.91174e-12,5.457e-12,2.95587e-12,2.27375e-12,5.8299e-10,6.03908e-10,5.02727e-10,7.51019e-10,7.55339e-10,8.306e-10,8.76302e-10,1.10072e-09,1.32855e-09,3.71303e-10
3,1.819e-12,2.7285e-12,2.50112e-12,2.27375e-12,2.27375e-12,1.59162e-12,2.95587e-12,3.18325e-12,2.50112e-12,2.95587e-12,4.09275e-12,3.18325e-12,2.50112e-12,2.27375e-12,3.18325e-12,3.63801e-12,2.95587e-12,2.95587e-12,4.09275e-12,4.77487e-12,2.95587e-12,2.95587e-12,3.63801e-12,2.95587e-12,3.63801e-12,3.18325e-12,3.63801e-12,3.41062e-12,3.41062e-12,4.09275e-12,4.09275e-12,2.95587e-12,4.5475e-12,4.09275e-12,4.09275e-12,4.09275e-12,4.77487e-12,5.00225e-12,4.77487e-12,4.77487e-12,4.32013e-12,5.22962e-12,4.5475e-12,5.68437e-12,5.457e-12,5.91174e-12,5.68437e-12,5.00225e-12,5.457e-12,6.13912e-12,5.91174e-12,5.457e-12,5.457e-12,2.27375e-12,2.95587e-12,5.9595e-10,6.02089e-10,5.18643e-10,7.48745e-10,7.61705e-10,8.29235e-10,8.86306e-10,1.10118e-09,1.33173e-09,3.62435e-10
4,2.04638e-12,2.50112e-12,2.04638e-12,2.95587e-12,2.27375e-12,3.41062e-12,2.95587e-12,2.95587e-12,3.18325e-12,3.63801e-12,2.27375e-12,2.7285e-12,2.95587e-12,3.63801e-12,2.27375e-12,2.50112e-12,3.41062e-12,3.63801e-12,4.09275e-12,3.63801e-12,3.86538e-12,3.18325e-12,3.18325e-12,3.63801e-12,3.63801e-12,3.86538e-12,2.95587e-12,3.63801e-12,3.63801e-12,3.63801e-12,3.63801e-12,3.41062e-12,3.63801e-12,3.63801e-12,3.63801e-12,3.63801e-12,4.5475e-12,4.77487e-12,4.32013e-12,4.32013e-12,4.32013e-12,4.5475e-12,5.22962e-12,5.68437e-12,5.68437e-12,5.457e-12,5.68437e-12,5.457e-12,5.457e-12,7.04861e-12,6.13912e-12,5.00225e-12,5.00225e-12,2.7285e-12,2.27375e-12,5.85946e-10,6.01862e-10,5.08184e-10,7.49427e-10,7.55794e-10,8.30372e-10,8.7994e-10,1.10186e-09,1.32241e-09,3.5948e-10
5,2.27375e-12,1.819e-12,1.819e-12,2.50112e-12,2.27375e-12,3.18325e-12,2.04638e-12,2.04638e-12,4.32013e-12,2.95587e-12,4.32013e-12,3.63801e-12,2.95587e-12,3.41062e-12,2.7285e-12,3.63801e-12,3.41062e-12,2.95587e-12,3.63801e-12,4.32013e-12,3.63801e-12,3.63801e-12,3.41062e-12,2.50112e-12,3.63801e-12,2.95587e-12,3.63801e-12,3.41062e-12,3.18325e-12,3.18325e-12,3.18325e-12,3.41062e-12,3.18325e-12,3.63801e-12,4.5475e-12,3.86538e-12,4.09275e-12,4.5475e-12,5.22962e-12,4.77487e-12,4.77487e-12,5.00225e-12,5.457e-12,5.00225e-12,6.13912e-12,5.68437e-12,5.68437e-12,5.68437e-12,6.13912e-12,5.457e-12,5.457e-12,6.36649e-12,5.00225e-12,2.50112e-12,2.04638e-12,5.94586e-10,6.0459e-10,5.16142e-10,7.48972e-10,7.53975e-10,8.28781e-10,8.83123e-10,1.10231e-09,1.3281e-09,3.54477e-10
6,1.819e-12,1.819e-12,2.27375e-12,2.27375e-12,1.819e-12,2.27375e-12,2.27375e-12,3.41062e-12,2.95587e-12,2.7285e-12,3.41062e-12,2.95587e-12,3.63801e-12,3.41062e-12,3.41062e-12,2.95587e-12,3.41062e-12,3.86538e-12,4.09275e-12,2.95587e-12,4.32013e-12,3.63801e-12,3.63801e-12,2.95587e-12,3.86538e-12,3.18325e-12,2.95587e-12,3.18325e-12,3.18325e-12,3.86538e-12,3.63801e-12,3.41062e-12,3.63801e-12,4.32013e-12,3.86538e-12,4.32013e-12,4.09275e-12,3.86538e-12,5.22962e-12,4.32013e-12,5.00225e-12,5.457e-12,5.00225e-12,6.13912e-12,5.68437e-12,5.91174e-12,5.91174e-12,5.68437e-12,6.36649e-12,5.91174e-12,6.13912e-12,5.68437e-12,5.00225e-12,3.63801e-12,2.04638e-12,5.80943e-10,6.02999e-10,5.00226e-10,7.4829e-10,7.47608e-10,8.29008e-10,8.74028e-10,1.10095e-09,1.32855e-09,3.9927e-10
7,2.27375e-12,1.819e-12,2.27375e-12,2.50112e-12,2.7285e-12,3.18325e-12,1.819e-12,3.18325e-12,2.50112e-12,3.18325e-12,2.7285e-12,2.27375e-12,3.18325e-12,4.09275e-12,2.7285e-12,2.27375e-12,3.63801e-12,3.18325e-12,3.63801e-12,3.63801e-12,3.63801e-12,2.7285e-12,3.86538e-12,3.18325e-12,4.09275e-12,3.41062e-12,2.7285e-12,3.63801e-12,3.41062e-12,3.86538e-12,3.41062e-12,3.18325e-12,2.95587e-12,3.86538e-12,3.63801e-12,4.32013e-12,4.32013e-12,4.09275e-12,5.22962e-12,4.77487e-12,5.457e-12,4.77487e-12,5.457e-12,5.457e-12,5.68437e-12,6.13912e-12,5.457e-12,5.457e-12,6.13912e-12,6.13912e-12,5.457e-12,6.13912e-12,5.00225e-12,3.63801e-12,1.819e-12,5.64572e-10,6.49838e-10,4.834e-10,7.9422e-10,7.28054e-10,8.71982e-10,8.54701e-10,1.10322e-09,1.33151e-09,4.31784e-10
8,2.27375e-12,1.819e-12,2.27375e-12,2.27375e-12,2.50112e-12,2.27375e-12,2.7285e-12,3.18325e-12,2.95587e-12,2.7285e-12,2.50112e-12,2.50112e-12,3.63801e-12,3.63801e-12,3.63801e-12,1.819e-12,2.95587e-12,2.7285e-12,3.63801e-12,2.95587e-12,3.63801e-12,3.18325e-12,3.63801e-12,3.18325e-12,2.95587e-12,3.63801e-12,4.09275e-12,2.95587e-12,2.50112e-12,2.27375e-12,3.86538e-12,4.32013e-12,3.18325e-12,2.95587e-12,4.09275e-12,3.41062e-12,3.63801e-12,3.63801e-12,4.77487e-12,4.77487e-12,4.5475e-12,5.00225e-12,5.22962e-12,5.91174e-12,5.457e-12,6.36649e-12,5.457e-12,6.13912e-12,5.91174e-12,6.13912e-12,4.77487e-12,6.13912e-12,3.86538e-12,3.86538e-12,1.59162e-12,5.56387e-10,6.95767e-10,4.7385e-10,8.37876e-10,7.25098e-10,9.14955e-10,8.51745e-10,1.14461e-09,1.32855e-09,4.96815e-10
9,2.04638e-12,2.50112e-12,2.27375e-12,2.50112e-12,2.27375e-12,2.04638e-12,2.27375e-12,2.95587e-12,2.95587e-12,2.95587e-12,2.95587e-12,2.7285e-12,3.63801e-12,2.95587e-12,3.41062e-12,3.63801e-12,3.86538e-12,2.27375e-12,2.50112e-12,2.95587e-12,3.41062e-12,3.63801e-12,3.86538e-12,2.50112e-12,3.63801e-12,3.18325e-12,4.09275e-12,2.95587e-12,3.41062e-12,3.18325e-12,3.63801e-12,3.41062e-12,3.18325e-12,3.63801e-12,3.63801e-12,3.86538e-12,3.63801e-12,4.32013e-12,5.457e-12,5.68437e-12,5.22962e-12,4.77487e-12,5.22962e-12,4.77487e-12,5.457e-12,5.68437e-12,5.00225e-12,5.457e-12,6.13912e-12,5.68437e-12,5.68437e-12,6.13912e-12,4.5475e-12,3.63801e-12,2.27375e-13,5.5957e-10,7.04862e-10,4.79762e-10,8.40831e-10,7.24189e-10,9.18138e-10,8.51745e-10,1.15757e-09,1.33128e-09,6.64389e-10
