,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.00246431,0.00279237,0.00240327,0.00411227,0.00400546,0.0136033,0.0182801,0.0400851,0.0535128,0.0698476,0.0856862,0.0848622,0.10553,0.0785451,0.101479,0.0906453,0.115883,0.0849233,0.107239,0.0732808,0.0964208,0.0602648,0.0730519,0.0473177,0.0596774,0.0339053,0.0436404,0.0166551,0.0242769,0.0173036,0.0272599,0.0140763,0.0190965,0.0147553,0.0191499,0.0152817,0.0231324,0.0128098,0.0195543,0.00853735,0.00889593,0.00429538,0.00482944,0.000938419,0.000770573,0.000564579,0.000442507,0.000190736,0.000198365,0.000129701,0.00013733,0.000114441,0.000114441,9.91826e-05,9.91826e-05,9.91826e-05,9.91826e-05,9.91826e-05,9.91826e-05,0.000114441
1,0.00205232,0.00342561,0.00226595,0.00309755,0.00449374,0.00888067,0.0236436,0.0174867,0.0688863,0.0582201,0.100678,0.0833135,0.126046,0.0791402,0.12787,0.0876698,0.136636,0.0840917,0.131997,0.074883,0.125131,0.0676961,0.101426,0.0485842,0.0810399,0.0317919,0.0554659,0.0156633,0.0397646,0.0145035,0.042206,0.0139237,0.0313952,0.0143586,0.0310823,0.0150529,0.0372317,0.0144349,0.034714,0.00874335,0.016266,0.00378419,0.00929266,0.00185395,0.00105286,0.000457766,0.000389101,0.000205995,0.000198365,0.00013733,0.000144959,0.000122071,0.000122071,9.91826e-05,0.000106812,9.91826e-05,0.000106812,9.91826e-05,0.000106812,0.000106812
2,0.00186158,0.00338747,0.00228883,0.003006,0.0054169,0.00843817,0.027794,0.0125046,0.0776601,0.05777,0.110672,0.0843968,0.136064,0.0804753,0.140725,0.0879064,0.144753,0.0851369,0.142587,0.0760579,0.139642,0.0694509,0.121369,0.0491107,0.0998693,0.0318072,0.0682302,0.0157319,0.054764,0.014412,0.0566256,0.0140458,0.048218,0.0144044,0.046593,0.0152054,0.0521319,0.0146104,0.048691,0.00858313,0.0311815,0.00364687,0.0206681,0.00190736,0.00203706,0.000434877,0.000373842,0.000213624,0.000205995,0.00013733,0.000152589,0.000122071,0.000129701,9.91826e-05,0.000114441,9.91826e-05,0.000114441,9.91826e-05,0.000114441,0.000106812
3,0.00177003,0.00337984,0.0022812,0.003006,0.00587466,0.0084458,0.0293885,0.0122986,0.0782018,0.0580904,0.116585,0.084641,0.140634,0.0808187,0.14692,0.0880132,0.149423,0.085381,0.148217,0.0762715,0.145616,0.069634,0.130128,0.049248,0.111718,0.0319064,0.0824437,0.0157853,0.0664525,0.0144425,0.0698018,0.0141297,0.059624,0.014473,0.0590136,0.0152894,0.0637975,0.014679,0.0594637,0.00854498,0.0427325,0.00359346,0.03286,0.00188447,0.0060654,0.000419619,0.000488285,0.000213624,0.000205995,0.00013733,0.000152589,0.000122071,0.00013733,9.91826e-05,0.000114441,9.91826e-05,0.000122071,9.91826e-05,0.000122071,0.000106812
4,0.00167847,0.00337984,0.00224306,0.003006,0.00648502,0.00845343,0.0308839,0.012352,0.0791173,0.0581667,0.119179,0.0846868,0.143197,0.0809712,0.150613,0.0880895,0.152055,0.0854268,0.151452,0.0763478,0.149743,0.0697637,0.137475,0.049309,0.121888,0.0319598,0.0963826,0.015854,0.0840154,0.0145112,0.0894322,0.0141526,0.0756764,0.0145188,0.0728307,0.0152741,0.0798955,0.0147553,0.0738301,0.00853735,0.0536959,0.00354768,0.0435336,0.00187684,0.0162126,0.000419619,0.0012436,0.000213624,0.000205995,0.00013733,0.000152589,0.000122071,0.00013733,9.91826e-05,0.000122071,9.91826e-05,0.000122071,9.91826e-05,0.000122071,0.000114441
5,0.00159455,0.00340272,0.00224306,0.00302126,0.00717929,0.00841528,0.0327227,0.0120926,0.081902,0.0576632,0.120736,0.0843511,0.144319,0.0806432,0.152421,0.0875707,0.152734,0.0849538,0.152619,0.07618,0.151826,0.069634,0.142091,0.0492861,0.129716,0.0320818,0.111771,0.0158387,0.112977,0.0145493,0.117753,0.0141831,0.100472,0.0145493,0.0972829,0.0152588,0.108063,0.0148392,0.103493,0.00859839,0.067925,0.00353242,0.0543597,0.00187684,0.0261918,0.000411989,0.00421146,0.000205995,0.000205995,0.00013733,0.000152589,0.000122071,0.000144959,9.91826e-05,0.000122071,9.91826e-05,0.000129701,9.91826e-05,0.000129701,0.000114441
6,0.00157929,0.00325014,0.0022812,0.003006,0.00775912,0.00888067,0.0339053,0.0131837,0.0841374,0.0623934,0.121735,0.0887303,0.144868,0.0851827,0.15265,0.0926366,0.152719,0.0893636,0.152528,0.0807271,0.15204,0.0734258,0.145318,0.0507128,0.137948,0.0331957,0.130555,0.0169526,0.134538,0.0157319,0.135827,0.0152283,0.124711,0.0154191,0.122582,0.0162584,0.132142,0.0147858,0.128922,0.00887305,0.0927968,0.00342561,0.0709081,0.00171662,0.0364916,0.000389101,0.00997168,0.000205995,0.000190736,0.00013733,0.000152589,0.000122071,0.000144959,9.91826e-05,0.000129701,9.91826e-05,0.000129701,9.91826e-05,0.000129701,0.000114441
7,0.00157929,0.00251772,0.00229646,0.0028763,0.00776675,0.0110703,0.0338748,0.0173951,0.0836186,0.0791554,0.121773,0.108597,0.144799,0.109169,0.152673,0.115899,0.152795,0.113289,0.152528,0.105515,0.152192,0.0959172,0.147538,0.060631,0.143243,0.0398333,0.139642,0.0235749,0.142335,0.022339,0.143144,0.0213853,0.137078,0.0207673,0.135865,0.0223161,0.14084,0.017624,0.13791,0.0134049,0.112145,0.00527194,0.0881276,0.00152589,0.0444949,0.000335695,0.0162965,0.000205995,0.000152589,0.000152589,0.000152589,0.000129701,0.000144959,0.000106812,0.000129701,9.91826e-05,0.000129701,9.91826e-05,0.000129701,0.000114441
8,0.00159455,0.00206758,0.00234987,0.00306703,0.00845343,0.0158693,0.0349352,0.0235521,0.0860143,0.0946431,0.122803,0.126496,0.145242,0.134248,0.152734,0.138658,0.152894,0.137452,0.152474,0.131455,0.152413,0.123482,0.14985,0.0826573,0.147775,0.0530856,0.146333,0.0398333,0.1475,0.0388644,0.148309,0.0380328,0.14457,0.0371554,0.144166,0.0391848,0.146791,0.033623,0.144067,0.0299455,0.126794,0.0151978,0.104302,0.00323488,0.0568774,0.000289919,0.025673,0.000205995,6.8665e-05,0.000152589,0.000122071,0.00013733,0.00013733,0.000114441,0.000122071,0.000106812,0.000122071,0.000106812,0.000122071,0.000122071
9,0.00160981,0.00188447,0.00240327,0.00363924,0.00923926,0.0212251,0.0362856,0.0289689,0.0884099,0.102921,0.123787,0.137368,0.145707,0.145555,0.152726,0.147584,0.152864,0.147279,0.152497,0.145257,0.152619,0.140191,0.151734,0.104065,0.151101,0.0720525,0.15075,0.0593264,0.151574,0.0581973,0.151826,0.0562975,0.150025,0.0558093,0.149728,0.0577929,0.15104,0.0523608,0.14824,0.0468676,0.133744,0.0317767,0.113602,0.0130692,0.0669637,0.000312807,0.032738,0.000205995,-7.62945e-06,0.000160218,9.15532e-05,0.000144959,0.000106812,0.000114441,0.000106812,0.000114441,0.000106812,0.000114441,0.000106812,0.000129701
10,0.00161744,0.00179292,0.00241853,0.00389101,0.00965887,0.0238115,0.0368807,0.0315936,0.08989,0.105462,0.12423,0.140412,0.145974,0.149369,0.15278,0.151124,0.152841,0.150979,0.152604,0.149926,0.152581,0.145783,0.152612,0.113778,0.15252,0.0875859,0.152642,0.0746083,0.152947,0.0726171,0.152925,0.0721288,0.152421,0.0708852,0.152368,0.0741277,0.152635,0.0653844,0.14985,0.0578082,0.137689,0.0418627,0.119797,0.0238954,0.0687718,0.000854496,0.035332,0.000205995,0.0,0.000160218,4.57766e-05,0.000144959,9.15532e-05,0.000122071,9.91826e-05,0.000114441,9.91826e-05,0.000114441,9.15532e-05,0.000129701
