,X,Y,Z(intensidade)
0,0,0,-1.02319e-11
1,1,0,-1.13687e-11
2,2,0,-1.06866e-11
3,3,0,-1.0914e-11
4,4,0,-9.54975e-12
5,5,0,-1.04592e-11
6,6,0,-1.06866e-11
7,7,0,-1.11414e-11
8,8,0,-1.06866e-11
9,9,0,-1.13687e-11
10,10,0,-1.13687e-11
11,11,0,-1.00045e-11
12,12,0,-1.18235e-11
13,13,0,-1.00045e-11
14,14,0,-9.095e-12
15,15,0,-1.02319e-11
16,16,0,-1.00045e-11
17,17,0,-1.04592e-11
18,18,0,-1.00045e-11
19,19,0,-1.04592e-11
20,20,0,-1.00045e-11
21,21,0,-1.00045e-11
22,22,0,-1.00045e-11
23,23,0,-8.86763e-12
24,24,0,-9.54975e-12
25,25,0,-8.64026e-12
26,26,0,-7.95813e-12
27,27,0,-8.86763e-12
28,28,0,-7.95813e-12
29,29,0,-6.82124e-12
30,30,0,-6.59386e-12
31,31,0,-5.00225e-12
32,32,0,-3.18325e-12
33,33,0,-2.27375e-13
34,34,0,1.13688e-12
35,34,-1,1.59162e-12
36,33,-1,2.04638e-12
37,32,-1,1.59162e-12
38,31,-1,9.09502e-13
39,30,-1,-2.50112e-12
40,29,-1,-4.5475e-12
41,28,-1,-5.457e-12
42,27,-1,-7.73076e-12
43,26,-1,-8.18551e-12
44,25,-1,-8.86763e-12
45,24,-1,-1.00045e-11
46,23,-1,-1.00045e-11
47,22,-1,-9.32238e-12
48,21,-1,-1.06866e-11
49,20,-1,-1.0914e-11
50,19,-1,-1.0914e-11
51,18,-1,-1.13687e-11
52,17,-1,-1.15961e-11
53,16,-1,-1.15961e-11
54,15,-1,-1.13687e-11
55,14,-1,-1.18235e-11
56,13,-1,-1.20509e-11
57,12,-1,-1.18235e-11
58,11,-1,-1.18235e-11
59,10,-1,-1.15961e-11
60,9,-1,-1.20509e-11
61,8,-1,-1.25056e-11
62,7,-1,-1.22782e-11
63,6,-1,-1.22782e-11
64,5,-1,-1.29604e-11
65,4,-1,-1.25056e-11
66,3,-1,-1.22782e-11
67,2,-1,-1.25056e-11
68,1,-1,-1.20509e-11
69,0,-1,-1.22782e-11
70,0,-2,-1.20509e-11
71,1,-2,-1.06866e-11
72,2,-2,-1.20509e-11
73,3,-2,-1.20509e-11
74,4,-2,-1.18235e-11
75,5,-2,-1.25056e-11
76,6,-2,-1.20509e-11
77,7,-2,-1.2733e-11
78,8,-2,-1.0914e-11
79,9,-2,-1.15961e-11
80,10,-2,-1.20509e-11
81,11,-2,-1.22782e-11
82,12,-2,-1.13687e-11
83,13,-2,-1.06866e-11
84,14,-2,-1.06866e-11
85,15,-2,-1.18235e-11
86,16,-2,-1.0914e-11
87,17,-2,-1.18235e-11
88,18,-2,-1.06866e-11
89,19,-2,-1.06866e-11
90,20,-2,-1.13687e-11
91,21,-2,-9.54975e-12
92,22,-2,-1.02319e-11
93,23,-2,-1.06866e-11
94,24,-2,-9.54975e-12
95,25,-2,-9.095e-12
96,26,-2,-1.00045e-11
97,27,-2,-8.41288e-12
98,28,-2,-7.50339e-12
99,29,-2,-5.68437e-12
100,30,-2,-3.86538e-12
101,31,-2,-2.50112e-12
102,32,-2,4.54751e-13
103,33,-2,6.82124e-12
104,34,-2,1.79626e-11
105,34,-3,2.70576e-11
106,33,-3,2.75123e-11
107,32,-3,2.79671e-11
108,31,-3,2.43291e-11
109,30,-3,1.11414e-11
110,29,-3,3.18325e-12
111,28,-3,0.0
112,27,-3,-2.50112e-12
113,26,-3,-4.09275e-12
114,25,-3,-5.68437e-12
115,24,-3,-6.36649e-12
116,23,-3,-6.82124e-12
117,22,-3,-7.50339e-12
118,21,-3,-7.95813e-12
119,20,-3,-8.64026e-12
120,19,-3,-8.86763e-12
121,18,-3,-9.095e-12
122,17,-3,-8.41288e-12
123,16,-3,-9.32238e-12
124,15,-3,-8.86763e-12
125,14,-3,-8.86763e-12
126,13,-3,-8.86763e-12
127,12,-3,-9.54975e-12
128,11,-3,-9.54975e-12
129,10,-3,-8.86763e-12
130,9,-3,-9.77712e-12
131,8,-3,-1.00045e-11
132,7,-3,-9.54975e-12
133,6,-3,-1.00045e-11
134,5,-3,-9.77712e-12
135,4,-3,-1.06866e-11
136,3,-3,-1.06866e-11
137,2,-3,-1.02319e-11
138,1,-3,-1.06866e-11
139,0,-3,-1.06866e-11
140,0,-4,-1.43246e-11
141,1,-4,-1.50068e-11
142,2,-4,-1.4552e-11
143,3,-4,-1.50068e-11
144,4,-4,-1.47794e-11
145,5,-4,-1.54615e-11
146,6,-4,-1.52341e-11
147,7,-4,-1.59163e-11
148,8,-4,-1.6371e-11
149,9,-4,-1.6371e-11
150,10,-4,-1.70531e-11
151,11,-4,-1.6371e-11
152,12,-4,-1.52341e-11
153,13,-4,-1.56889e-11
154,14,-4,-1.59163e-11
155,15,-4,-1.56889e-11
156,16,-4,-1.59163e-11
157,17,-4,-1.50068e-11
158,18,-4,-1.59163e-11
159,19,-4,-1.61436e-11
160,20,-4,-1.4552e-11
161,21,-4,-1.4552e-11
162,22,-4,-1.56889e-11
163,23,-4,-1.50068e-11
164,24,-4,-1.36425e-11
165,25,-4,-1.31877e-11
166,26,-4,-1.18235e-11
167,27,-4,-1.04592e-11
168,28,-4,-9.54975e-12
169,29,-4,-7.50339e-12
170,30,-4,-5.91174e-12
171,31,-4,-2.50112e-12
172,32,-4,1.13688e-12
173,33,-4,1.06866e-11
174,34,-4,2.7285e-11
175,34,-5,2.70576e-11
176,33,-5,2.5466e-11
177,32,-5,2.5466e-11
178,31,-5,2.29649e-11
179,30,-5,1.02319e-11
180,29,-5,1.36425e-12
181,28,-5,-3.86538e-12
182,27,-5,-5.91174e-12
183,26,-5,-7.27601e-12
184,25,-5,-9.77712e-12
185,24,-5,-1.25056e-11
186,23,-5,-1.34151e-11
187,22,-5,-1.40972e-11
188,21,-5,-1.50068e-11
189,20,-5,-1.59163e-11
190,19,-5,-1.68258e-11
191,18,-5,-1.70531e-11
192,17,-5,-1.70531e-11
193,16,-5,-1.61436e-11
194,15,-5,-1.88721e-11
195,14,-5,-1.77353e-11
196,13,-5,-1.819e-11
197,12,-5,-1.84174e-11
198,11,-5,-1.75079e-11
199,10,-5,-1.77353e-11
200,9,-5,-1.75079e-11
201,8,-5,-1.819e-11
202,7,-5,-1.819e-11
203,6,-5,-1.88721e-11
204,5,-5,-1.86448e-11
205,4,-5,-1.88721e-11
206,3,-5,-1.88721e-11
207,2,-5,-1.95542e-11
208,1,-5,-1.84174e-11
209,0,-5,-1.86448e-11
210,0,-6,-1.75079e-11
211,1,-6,-1.72805e-11
212,2,-6,-1.77353e-11
213,3,-6,-1.819e-11
214,4,-6,-1.86448e-11
215,5,-6,-1.819e-11
216,6,-6,-1.75079e-11
217,7,-6,-1.75079e-11
218,8,-6,-1.77353e-11
219,9,-6,-1.75079e-11
220,10,-6,-1.79626e-11
221,11,-6,-1.75079e-11
222,12,-6,-1.72805e-11
223,13,-6,-1.65984e-11
224,14,-6,-1.75079e-11
225,15,-6,-1.819e-11
226,16,-6,-1.75079e-11
227,17,-6,-1.819e-11
228,18,-6,-1.70531e-11
229,19,-6,-1.6371e-11
230,20,-6,-1.68258e-11
231,21,-6,-1.70531e-11
232,22,-6,-1.70531e-11
233,23,-6,-1.59163e-11
234,24,-6,-1.43246e-11
235,25,-6,-1.25056e-11
236,26,-6,-1.15961e-11
237,27,-6,-1.00045e-11
238,28,-6,-6.59386e-12
239,29,-6,-4.77487e-12
240,30,-6,-2.27375e-12
241,31,-6,2.04638e-12
242,32,-6,1.20509e-11
243,33,-6,2.81944e-11
244,34,-6,5.63889e-11
245,34,-7,6.43472e-11
246,33,-7,6.27556e-11
247,32,-7,6.18461e-11
248,31,-7,6.13913e-11
249,30,-7,3.43336e-11
250,29,-7,1.65984e-11
251,28,-7,5.457e-12
252,27,-7,0.0
253,26,-7,-3.86538e-12
254,25,-7,-4.5475e-12
255,24,-7,-6.36649e-12
256,23,-7,-1.11414e-11
257,22,-7,-1.29604e-11
258,21,-7,-1.2733e-11
259,20,-7,-1.29604e-11
260,19,-7,-1.40972e-11
261,18,-7,-1.56889e-11
262,17,-7,-1.50068e-11
263,16,-7,-1.54615e-11
264,15,-7,-1.65984e-11
265,14,-7,-1.52341e-11
266,13,-7,-1.54615e-11
267,12,-7,-1.819e-11
268,11,-7,-1.70531e-11
269,10,-7,-1.56889e-11
270,9,-7,-1.6371e-11
271,8,-7,-1.77353e-11
272,7,-7,-1.84174e-11
273,6,-7,-1.70531e-11
274,5,-7,-1.56889e-11
275,4,-7,-1.65984e-11
276,3,-7,-1.72805e-11
277,2,-7,-1.75079e-11
278,1,-7,-1.79626e-11
279,0,-7,-1.65984e-11
280,0,-8,-2.0009e-11
281,1,-8,-2.09185e-11
282,2,-8,-2.13732e-11
283,3,-8,-2.06911e-11
284,4,-8,-2.16006e-11
285,5,-8,-2.09185e-11
286,6,-8,-2.22827e-11
287,7,-8,-2.13732e-11
288,8,-8,-2.09185e-11
289,9,-8,-2.20554e-11
290,10,-8,-2.29649e-11
291,11,-8,-2.20554e-11
292,12,-8,-2.13732e-11
293,13,-8,-2.16006e-11
294,14,-8,-2.27375e-11
295,15,-8,-2.02364e-11
296,16,-8,-1.84174e-11
297,17,-8,-2.04637e-11
298,18,-8,-1.88721e-11
299,19,-8,-1.819e-11
300,20,-8,-1.88721e-11
301,21,-8,-1.819e-11
302,22,-8,-1.59163e-11
303,23,-8,-1.54615e-11
304,24,-8,-1.56889e-11
305,25,-8,-1.50068e-11
306,26,-8,-1.29604e-11
307,27,-8,-6.82124e-12
308,28,-8,-5.91174e-12
309,29,-8,-2.04638e-12
310,30,-8,1.36425e-12
311,31,-8,7.95813e-12
312,32,-8,2.56933e-11
313,33,-8,5.45699e-11
314,34,-8,1.24602e-10
315,34,-9,1.78717e-10
316,33,-9,1.74396e-10
317,32,-9,1.73487e-10
318,31,-9,1.67803e-10
319,30,-9,6.68483e-11
320,29,-9,2.77397e-11
321,28,-9,6.59386e-12
322,27,-9,-3.18325e-12
323,26,-9,-7.04861e-12
324,25,-9,-1.13687e-11
325,24,-9,-1.25056e-11
326,23,-9,-2.0009e-11
327,22,-9,-2.25101e-11
328,21,-9,-2.31922e-11
