,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.00488284,0.0418398,0.0763173,0.0826955,0.0644307,0.0351717,0.0160981,0.0154038,0.0144578,0.00682834,0.000503544,0.000183106,0.000129701,0.000106812,0.000106812
1,0.00485232,0.0846486,0.078217,0.14898,0.065064,0.0842366,0.0163041,0.0583804,0.0145188,0.0328219,0.000503544,0.000205995,0.000129701,0.00013733,0.000106812
2,0.00951391,0.089272,0.140595,0.152421,0.136964,0.136895,0.0588839,0.134255,0.0545428,0.0816197,0.000289919,0.000205995,0.000152589,0.000152589,0.000122071
3,0.011757,0.0958562,0.14676,0.152558,0.150231,0.152574,0.133836,0.152635,0.130296,0.119576,0.00473025,0.000122071,0.000160218,0.000152589,0.00013733
4,0.0126725,0.0983891,0.146882,0.15265,0.152558,0.152093,0.152871,0.152368,0.151856,0.118409,0.0282518,0.000205995,0.000144959,0.000167848,0.000144959
5,0.0133134,0.0958562,0.14734,0.152528,0.152253,0.113068,0.152238,0.10952,0.150476,0.0726399,0.0249788,0.000328066,0.000183106,0.000198365,0.000152589
6,0.0127335,0.0306474,0.14808,0.114045,0.14779,0.0634007,0.122864,0.0144272,0.119904,0.00266267,0.00751498,0.000427248,0.000221253,0.000244142,0.000183106
7,0.00288393,0.00337221,0.121544,0.0181199,0.131616,0.00494388,0.018593,0.0023575,0.0159837,0.00102998,0.000877384,0.000465395,0.000289919,0.000289919,0.000221253
8,0.00184632,0.00480655,0.0254747,0.0175859,0.034775,0.00790411,0.00260927,0.00586703,0.00220491,0.000984199,0.00067902,0.000488285,0.000335695,0.000328066,0.000259401
9,0.00171662,0.0628514,0.0073624,0.0763326,0.00531009,0.0662465,0.00614169,0.0615618,0.00167847,0.00097657,0.00067139,0.000503544,0.000381472,0.000358583,0.000312807
10,0.00547031,0.116402,0.0480502,0.146829,0.0413134,0.144601,0.0480502,0.143258,0.0127869,0.00564578,0.000656132,0.000526432,0.00040436,0.000366213,0.000335695
11,0.0286256,0.123833,0.136331,0.14972,0.125939,0.152215,0.135407,0.152261,0.0615618,0.0131455,0.000648502,0.000526432,0.000419619,0.000381472,0.000358583
12,0.0349047,0.0725942,0.152421,0.132348,0.150681,0.151978,0.152688,0.136712,0.101677,0.00608066,0.000633243,0.000534061,0.000434877,0.00039673,0.000366213
13,0.0186845,0.0170518,0.139436,0.116234,0.152268,0.151803,0.144517,0.0372317,0.095818,0.000991829,0.000617985,0.000534061,0.000450136,0.00040436,0.000366213
14,0.00391391,0.0572131,0.0600207,0.122582,0.1503,0.151391,0.10067,0.0535281,0.025879,0.000915531,0.000625614,0.000534061,0.000465395,0.00040436,0.000381472
15,0.0141984,0.11718,0.0424197,0.141313,0.151216,0.152215,0.0990376,0.12758,0.00525668,0.000915531,0.000617985,0.000534061,0.000473024,0.000411989,0.00039673
16,0.027939,0.143502,0.096993,0.152757,0.150681,0.152696,0.111809,0.150346,0.039078,0.0011139,0.000625614,0.000526432,0.000488285,0.00039673,0.00040436
17,0.0606997,0.124749,0.152467,0.149987,0.152261,0.152009,0.151948,0.151605,0.0802464,0.00564578,0.000579838,0.00054932,0.000473024,0.000442507,0.000389101
18,0.0396731,0.0198518,0.151803,0.0335467,0.152268,0.0435183,0.151788,0.0406115,0.0887227,0.000999458,0.000579838,0.000541691,0.000503544,0.000419619,0.000419619
19,0.0072861,0.0029297,0.0783162,0.00477603,0.104096,0.00713351,0.087769,0.00707248,0.0165788,0.001297,0.000587467,0.000541691,0.000503544,0.000457766,0.000419619
20,0.00191499,0.0297319,0.00733951,0.0231553,0.0123597,0.00823218,0.00971228,0.0455019,0.00215913,0.00460818,0.000633243,0.000526432,0.000518803,0.000419619,0.000434877
21,0.00173188,0.0518725,0.00431064,0.0587924,0.00244142,0.0199662,0.00543216,0.0815358,0.00825506,0.038872,0.000633243,0.000526432,0.000503544,0.000450136,0.000419619
22,0.00379945,0.111039,0.0500643,0.139436,0.0139695,0.0830541,0.0506136,0.148881,0.0596774,0.0824666,0.000595096,0.000503544,0.000503544,0.000434877,0.000427248
23,0.0206071,0.122056,0.106156,0.149293,0.0487597,0.11052,0.118554,0.152261,0.134538,0.0986104,0.00110627,0.000495914,0.000503544,0.000450136,0.000419619
24,0.0396578,0.122849,0.151093,0.149728,0.103905,0.110932,0.151223,0.152467,0.149049,0.0989385,0.00672153,0.000495914,0.000503544,0.000450136,0.000427248
