,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,-3.56979e-11,-3.8199e-11,-3.79716e-11,-4.04727e-11,-3.8199e-11,-3.93359e-11,-3.75169e-11,-3.75169e-11,-3.54705e-11,-3.68348e-11,-3.18325e-11,-3.18325e-11,-2.88766e-11,-2.84218e-11,-2.56933e-11,-2.38743e-11,-2.0009e-11,-1.84174e-11,-1.79626e-11,-1.72805e-11,-1.56889e-11,-1.40972e-11,-1.54615e-11,-1.86448e-11,2.95587e-12,7.48064e-11,2.9195e-10,4.47018e-10,6.28237e-10,7.48745e-10,6.61206e-10,5.94586e-10,1.47794e-10,6.04818e-11,-1.54615e-11
1,-3.59253e-11,-4.25191e-11,-3.68348e-11,-4.38833e-11,-3.8199e-11,-4.25191e-11,-3.84264e-11,-4.02454e-11,-3.50158e-11,-3.8199e-11,-3.25147e-11,-3.4561e-11,-3.00135e-11,-2.95588e-11,-2.61481e-11,-2.47838e-11,-2.04637e-11,-1.75079e-11,-1.84174e-11,-1.52341e-11,-1.59163e-11,-1.4552e-11,-1.50068e-11,-1.75079e-11,-1.06866e-11,1.05274e-10,2.56479e-10,5.48429e-10,5.49793e-10,6.35968e-10,7.49655e-10,6.42107e-10,2.75579e-10,9.82259e-11,-1.70531e-11
2,-3.56979e-11,-3.93359e-11,-3.68348e-11,-4.1837e-11,-3.75169e-11,-4.04727e-11,-3.88811e-11,-3.8199e-11,-3.56979e-11,-3.47884e-11,-3.29694e-11,-3.18325e-11,-2.93314e-11,-2.56933e-11,-2.61481e-11,-2.25101e-11,-2.1828e-11,-1.79626e-11,-1.819e-11,-1.52341e-11,-1.56889e-11,-1.31877e-11,-1.4552e-11,-1.6371e-11,-1.13687e-11,1.11641e-10,2.56252e-10,6.7735e-10,5.49111e-10,5.92539e-10,7.51019e-10,4.79762e-10,2.76488e-10,1.5075e-10,-1.72805e-11
3,-3.56979e-11,-4.0018e-11,-3.68348e-11,-4.0018e-11,-3.86537e-11,-3.75169e-11,-3.88811e-11,-3.61526e-11,-3.54705e-11,-3.34242e-11,-3.22873e-11,-3.00135e-11,-2.95588e-11,-1.95542e-11,-2.56933e-11,-1.77353e-11,-2.11459e-11,-1.65984e-11,-1.95542e-11,-1.36425e-11,-1.68258e-11,-1.25056e-11,-1.4552e-11,-1.4552e-11,-1.13687e-11,1.05274e-10,2.5557e-10,7.03043e-10,5.48656e-10,7.55794e-10,7.51019e-10,4.89994e-10,2.76716e-10,7.73075e-11,-1.68258e-11
4,-3.75169e-11,-4.04727e-11,-3.95632e-11,-4.0018e-11,-4.04727e-11,-3.638e-11,-4.02454e-11,-3.50158e-11,-3.72895e-11,-3.29694e-11,-3.43336e-11,-3.00135e-11,-2.95588e-11,-1.86448e-11,-2.63755e-11,-1.29604e-11,-2.06911e-11,-1.40972e-11,-1.819e-11,-1.38698e-11,-1.61436e-11,-1.25056e-11,-1.56889e-11,-1.36425e-11,-5.22962e-12,7.52611e-11,3.3174e-10,5.82535e-10,6.17096e-10,7.03725e-10,8.17412e-10,4.92268e-10,3.31513e-10,7.98086e-11,-2.50112e-11
5,-4.09275e-11,-4.0018e-11,-4.41107e-11,-4.0018e-11,-4.34286e-11,-3.50158e-11,-4.25191e-11,-3.31968e-11,-3.93359e-11,-3.43336e-11,-3.68348e-11,-3.18325e-11,-3.0923e-11,-2.52386e-11,-2.61481e-11,-1.04592e-11,-2.0009e-11,-9.32238e-12,-1.65984e-11,-1.13687e-11,-1.50068e-11,-1.20509e-11,-1.56889e-11,-1.25056e-11,4.54751e-13,1.61436e-11,4.33376e-10,3.48793e-10,5.97996e-10,3.80171e-10,7.21005e-10,2.89448e-10,4.20188e-10,1.24374e-10,-4.66118e-11
6,-3.91085e-11,-3.97906e-11,-4.13822e-11,-3.75169e-11,-4.07001e-11,-3.34242e-11,-3.86537e-11,-3.06957e-11,-3.56979e-11,-3.34242e-11,-3.29694e-11,-3.66074e-11,-2.5466e-11,-2.95588e-11,-2.1828e-11,-1.50068e-11,-2.0009e-11,-4.09275e-12,-1.6371e-11,-7.73076e-12,-1.50068e-11,-1.06866e-11,-1.4552e-11,-1.0914e-11,7.27601e-12,-1.819e-12,5.47292e-10,1.18235e-10,7.06226e-10,2.00317e-10,5.52749e-10,1.06411e-10,2.98316e-10,6.43472e-11,-3.18325e-12
7,-3.88811e-11,-3.93359e-11,-4.07001e-11,-3.52431e-11,-3.79716e-11,-3.2742e-11,-3.66074e-11,-2.95588e-11,-3.4561e-11,-3.20599e-11,-3.2742e-11,-4.07001e-11,-2.45565e-11,-3.38789e-11,-1.72805e-11,-2.02364e-11,-1.6371e-11,-4.09275e-12,-1.56889e-11,-3.18325e-12,-1.43246e-11,-8.86763e-12,-1.25056e-11,-1.13687e-11,2.95587e-12,-5.91174e-12,5.08638e-10,2.11459e-11,8.10591e-10,7.13958e-11,6.03908e-10,3.91085e-11,3.05592e-10,1.20509e-11,-2.31922e-11
8,-3.88811e-11,-4.11549e-11,-4.0018e-11,-3.61526e-11,-3.8199e-11,-3.31968e-11,-3.638e-11,-2.95588e-11,-3.4561e-11,-3.0923e-11,-3.31968e-11,-3.59253e-11,-2.63755e-11,-3.47884e-11,-1.40972e-11,-2.29649e-11,-1.18235e-11,-6.82124e-12,-1.2733e-11,-4.5475e-12,-1.31877e-11,-6.13912e-12,-1.25056e-11,-1.13687e-11,-5.00225e-12,-1.29604e-11,3.73122e-10,7.27601e-12,6.25963e-10,9.32238e-12,5.58433e-10,-2.29649e-11,3.43109e-10,-2.95588e-11,-4.13822e-11
9,-3.91085e-11,-4.20644e-11,-4.07001e-11,-3.79716e-11,-3.72895e-11,-3.25147e-11,-3.34242e-11,-2.97862e-11,-3.38789e-11,-2.88766e-11,-3.41063e-11,-2.16006e-11,-3.11504e-11,-2.0009e-11,-1.88721e-11,-2.0009e-11,-5.22962e-12,-1.13687e-11,-8.64026e-12,-7.27601e-12,-1.06866e-11,-5.457e-12,-1.25056e-11,-1.06866e-11,-1.0914e-11,-1.6371e-11,1.56661e-10,-1.56889e-11,3.50612e-10,-2.38743e-11,2.68985e-10,-3.61526e-11,2.00317e-10,-3.97906e-11,-7.73076e-12
