,X,Y,Z(intensidade)
205,5,-4,-1.05047e-10
206,6,-4,-1.13233e-10
207,7,-4,-1.54842e-10
208,8,-4,-1.15052e-10
209,9,-4,-1.69849e-10
210,10,-4,-2.31695e-10
211,11,-4,-1.17553e-10
212,12,-4,-1.20054e-10
213,13,-4,-2.1305e-10
214,14,-4,-1.20964e-10
215,15,-4,6.82124e-12
216,16,-4,-2.16006e-11
217,17,-4,1.13688e-12
218,18,-4,1.36425e-12
219,19,-4,-1.6371e-11
220,20,-4,-2.3647e-11
221,21,-4,-2.56933e-11
222,22,-4,-2.68302e-11
223,23,-4,-3.38789e-11
224,24,-4,-4.68392e-11
225,25,-4,-4.41107e-11
226,26,-4,-4.16096e-11
227,27,-4,-4.20644e-11
228,28,-4,-4.13822e-11
229,29,-4,-4.11549e-11
230,30,-4,-4.07001e-11
231,31,-4,-4.04727e-11
232,32,-4,-3.88811e-11
233,33,-4,-3.8199e-11
234,34,-4,-3.61526e-11
235,35,-4,-3.36515e-11
236,36,-4,-2.84218e-11
237,37,-4,-2.04637e-11
238,38,-4,-1.6371e-11
239,39,-4,-1.13687e-11
240,40,-4,7.27601e-12
241,41,-4,4.0018e-11
242,42,-4,1.15961e-10
243,43,-4,3.28784e-10
244,44,-4,8.39695e-10
245,45,-4,1.48248e-09
246,46,-4,1.6969e-09
247,47,-4,1.77898e-09
248,48,-4,1.84287e-09
249,49,-4,1.85469e-09
250,49,-5,1.84833e-09
251,48,-5,1.84787e-09
252,47,-5,1.84378e-09
253,46,-5,1.84787e-09
254,45,-5,1.84287e-09
255,44,-5,1.79239e-09
256,43,-5,1.71759e-09
257,42,-5,1.53523e-09
258,41,-5,1.05343e-09
259,40,-5,4.29056e-10
260,39,-5,1.63483e-10
261,38,-5,5.61615e-11
262,37,-5,1.54615e-11
263,36,-5,-6.36649e-12
264,35,-5,-1.40972e-11
265,34,-5,-1.95542e-11
266,33,-5,-2.7285e-11
267,32,-5,-3.31968e-11
268,31,-5,-3.54705e-11
269,30,-5,-3.75169e-11
270,29,-5,-3.91085e-11
271,28,-5,-4.02454e-11
272,27,-5,-3.93359e-11
273,26,-5,-3.93359e-11
274,25,-5,-3.91085e-11
275,24,-5,-4.16096e-11
276,23,-5,-3.93359e-11
277,22,-5,-4.09275e-11
278,21,-5,-4.38833e-11
279,20,-5,-3.38789e-11
280,19,-5,-2.56933e-11
281,18,-5,-2.3647e-11
282,17,-5,-2.31922e-11
283,16,-5,-1.72805e-11
284,15,-5,-5.22962e-12
285,14,-5,8.18551e-12
286,13,-5,2.27375e-13
287,12,-5,-8.64026e-12
288,11,-5,-1.00045e-11
289,10,-5,-1.96224e-10
290,9,-5,-1.97361e-10
291,8,-5,-1.03001e-10
292,7,-5,-1.94405e-10
293,6,-5,-2.42382e-10
294,5,-5,-1.71213e-10
295,4,-5,-1.77352e-10
296,3,-5,-1.48021e-10
297,2,-5,-8.50382e-11
298,1,-5,-2.08503e-10
299,0,-5,-2.56934e-10
300,0,-6,-2.34197e-10
301,1,-6,-2.02591e-10
302,2,-6,-2.01227e-10
303,3,-6,-2.04865e-10
304,4,-6,-1.47339e-10
305,5,-6,-9.86806e-11
306,6,-6,-1.88948e-10
307,7,-6,-1.64847e-10
308,8,-6,-1.44383e-10
309,9,-6,-2.18507e-10
310,10,-6,-1.69849e-10
311,11,-6,-9.68616e-11
312,12,-6,-1.93269e-10
313,13,-6,-1.99862e-10
314,14,-6,-5.13867e-11
315,15,-6,-8.86763e-12
316,16,-6,-3.86538e-12
317,17,-6,-2.50112e-12
318,18,-6,-4.54751e-13
319,19,-6,-1.29604e-11
320,20,-6,-1.97816e-11
321,21,-6,-2.09185e-11
322,22,-6,-2.20554e-11
323,23,-6,-3.0923e-11
324,24,-6,-3.95632e-11
325,25,-6,-3.56979e-11
326,26,-6,-3.52431e-11
327,27,-6,-3.50158e-11
328,28,-6,-3.47884e-11
329,29,-6,-3.56979e-11
330,30,-6,-3.56979e-11
331,31,-6,-3.75169e-11
332,32,-6,-3.59253e-11
333,33,-6,-3.41063e-11
334,34,-6,-3.41063e-11
335,35,-6,-3.25147e-11
336,36,-6,-2.52386e-11
337,37,-6,-1.75079e-11
338,38,-6,-1.25056e-11
339,39,-6,-3.86538e-12
340,40,-6,1.86448e-11
341,41,-6,6.66209e-11
342,42,-6,1.95315e-10
343,43,-6,5.1978e-10
344,44,-6,1.07139e-09
345,45,-6,1.60231e-09
346,46,-6,1.73737e-09
347,47,-6,1.8124e-09
348,48,-6,1.84037e-09
349,49,-6,1.84014e-09
350,49,-7,1.83923e-09
351,48,-7,1.83991e-09
352,47,-7,1.84469e-09
353,46,-7,1.84378e-09
354,45,-7,1.83991e-09
355,44,-7,1.79808e-09
356,43,-7,1.71691e-09
357,42,-7,1.54433e-09
358,41,-7,1.10231e-09
359,40,-7,4.77261e-10
360,39,-7,1.87812e-10
361,38,-7,6.70757e-11
362,37,-7,2.09185e-11
363,36,-7,-2.50112e-12
364,35,-7,-1.13687e-11
365,34,-7,-1.95542e-11
366,33,-7,-2.63755e-11
367,32,-7,-3.06957e-11
368,31,-7,-3.18325e-11
369,30,-7,-3.22873e-11
370,29,-7,-3.20599e-11
371,28,-7,-3.18325e-11
372,27,-7,-2.88766e-11
373,26,-7,-2.88766e-11
374,25,-7,-2.70576e-11
375,24,-7,-2.81944e-11
376,23,-7,-2.75123e-11
377,22,-7,-2.93314e-11
378,21,-7,-3.20599e-11
379,20,-7,-2.13732e-11
380,19,-7,-1.50068e-11
381,18,-7,-1.29604e-11
