,X,Y,Z(intensidade)
204,24,-6,-3.68348e-11
205,25,-6,-3.8199e-11
206,26,-6,-3.8199e-11
207,27,-6,-3.66074e-11
208,28,-6,-3.4561e-11
209,29,-6,-3.22873e-11
210,29,-7,-2.95588e-11
211,28,-7,-3.00135e-11
212,27,-7,-3.13778e-11
213,26,-7,-3.00135e-11
214,25,-7,-3.18325e-11
215,24,-7,-3.31968e-11
216,23,-7,-3.47884e-11
217,22,-7,-3.52431e-11
218,21,-7,-3.2742e-11
219,20,-7,-3.13778e-11
220,19,-7,-3.0923e-11
221,18,-7,-2.75123e-11
222,17,-7,-2.81944e-11
223,16,-7,-2.81944e-11
224,15,-7,-2.88766e-11
225,14,-7,-3.04683e-11
226,13,-7,-2.95588e-11
227,12,-7,-2.75123e-11
228,11,-7,-2.75123e-11
229,10,-7,-2.77397e-11
230,9,-7,-1.56889e-11
231,8,-7,7.27601e-12
232,7,-7,2.11459e-11
233,6,-7,1.18235e-10
234,5,-7,3.48793e-10
235,4,-7,5.82535e-10
236,3,-7,7.03043e-10
237,2,-7,6.7735e-10
238,1,-7,5.48429e-10
239,0,-7,4.47018e-10
240,0,-8,2.9195e-10
241,1,-8,2.56479e-10
242,2,-8,2.56252e-10
243,3,-8,2.5557e-10
244,4,-8,3.3174e-10
245,5,-8,4.33376e-10
246,6,-8,5.47292e-10
247,7,-8,5.08638e-10
248,8,-8,3.73122e-10
249,9,-8,1.56661e-10
250,10,-8,2.52386e-11
251,11,-8,-1.13688e-12
252,12,-8,-1.00045e-11
253,13,-8,-1.90995e-11
254,14,-8,-2.50112e-11
255,15,-8,-2.47838e-11
256,16,-8,-2.47838e-11
257,17,-8,-2.7285e-11
258,18,-8,-2.63755e-11
259,19,-8,-2.61481e-11
260,20,-8,-2.45565e-11
261,21,-8,-2.47838e-11
262,22,-8,-2.50112e-11
263,23,-8,-2.77397e-11
264,24,-8,-2.97862e-11
265,25,-8,-3.11504e-11
266,26,-8,-3.38789e-11
267,27,-8,-3.38789e-11
268,28,-8,-3.20599e-11
269,29,-8,-3.06957e-11
270,29,-9,-2.95588e-11
271,28,-9,-2.75123e-11
272,27,-9,-2.75123e-11
273,26,-9,-2.75123e-11
274,25,-9,-2.95588e-11
275,24,-9,-2.93314e-11
276,23,-9,-2.88766e-11
277,22,-9,-2.75123e-11
278,21,-9,-2.31922e-11
279,20,-9,-2.1828e-11
280,19,-9,-2.06911e-11
281,18,-9,-1.88721e-11
282,17,-9,-1.84174e-11
283,16,-9,-2.27375e-11
284,15,-9,-2.7285e-11
285,14,-9,-2.59207e-11
286,13,-9,-2.04637e-11
287,12,-9,-1.86448e-11
288,11,-9,-1.95542e-11
289,10,-9,-1.93269e-11
290,9,-9,-1.6371e-11
291,8,-9,-1.29604e-11
292,7,-9,-5.91174e-12
293,6,-9,-1.819e-12
294,5,-9,1.61436e-11
295,4,-9,7.52611e-11
296,3,-9,1.05274e-10
297,2,-9,1.11641e-10
298,1,-9,1.05274e-10
299,0,-9,7.48064e-11
300,0,-10,2.95587e-12
301,1,-10,-1.06866e-11
302,2,-10,-1.13687e-11
303,3,-10,-1.13687e-11
304,4,-10,-5.22962e-12
305,5,-10,4.54751e-13
306,6,-10,7.27601e-12
307,7,-10,2.95587e-12
308,8,-10,-5.00225e-12
309,9,-10,-1.0914e-11
310,10,-10,-1.04592e-11
311,11,-10,-1.15961e-11
312,12,-10,-1.31877e-11
313,13,-10,-1.36425e-11
314,14,-10,-1.2733e-11
315,15,-10,-1.29604e-11
316,16,-10,-1.4552e-11
317,17,-10,-2.25101e-11
318,18,-10,-3.22873e-11
319,19,-10,-3.00135e-11
320,20,-10,-1.95542e-11
321,21,-10,-1.47794e-11
322,22,-10,-1.70531e-11
323,23,-10,-1.70531e-11
324,24,-10,-1.86448e-11
325,25,-10,-2.06911e-11
326,26,-10,-2.38743e-11
327,27,-10,-2.50112e-11
328,28,-10,-2.63755e-11
329,29,-10,-2.63755e-11
330,29,-11,-2.3647e-11
331,28,-11,-2.25101e-11
332,27,-11,-2.20554e-11
333,26,-11,-2.20554e-11
334,25,-11,-2.13732e-11
335,24,-11,-2.13732e-11
336,23,-11,-1.90995e-11
337,22,-11,-1.6371e-11
338,21,-11,-1.4552e-11
339,20,-11,-1.31877e-11
340,19,-11,-1.38698e-11
341,18,-11,-1.36425e-11
342,17,-11,-1.40972e-11
343,16,-11,-2.0009e-11
344,15,-11,-3.13778e-11
345,14,-11,-3.22873e-11
346,13,-11,-1.88721e-11
347,12,-11,-1.29604e-11
348,11,-11,-9.77712e-12
349,10,-11,-8.86763e-12
350,9,-11,-1.06866e-11
351,8,-11,-1.13687e-11
352,7,-11,-1.13687e-11
353,6,-11,-1.0914e-11
354,5,-11,-1.25056e-11
355,4,-11,-1.36425e-11
356,3,-11,-1.4552e-11
357,2,-11,-1.6371e-11
358,1,-11,-1.75079e-11
359,0,-11,-1.86448e-11
360,0,-12,-1.54615e-11
361,1,-12,-1.50068e-11
362,2,-12,-1.4552e-11
363,3,-12,-1.4552e-11
364,4,-12,-1.56889e-11
365,5,-12,-1.56889e-11
366,6,-12,-1.4552e-11
367,7,-12,-1.25056e-11
368,8,-12,-1.25056e-11
369,9,-12,-1.25056e-11
370,10,-12,-1.22782e-11
371,11,-12,-1.00045e-11
372,12,-12,-9.54975e-12
373,13,-12,-7.04861e-12
374,14,-12,-8.86763e-12
375,15,-12,-1.22782e-11
376,16,-12,-1.61436e-11
377,17,-12,-2.75123e-11
378,18,-12,-3.18325e-11
379,19,-12,-2.06911e-11
380,20,-12,-1.61436e-11
381,21,-12,-1.4552e-11
382,22,-12,-1.34151e-11
383,23,-12,-1.20509e-11
384,24,-12,-1.22782e-11
385,25,-12,-1.4552e-11
386,26,-12,-1.59163e-11
387,27,-12,-1.75079e-11
388,28,-12,-1.97816e-11
389,29,-12,-1.90995e-11
390,29,-13,-1.77353e-11
391,28,-13,-1.68258e-11
392,27,-13,-1.70531e-11
393,26,-13,-1.70531e-11
394,25,-13,-1.72805e-11
395,24,-13,-1.59163e-11
396,23,-13,-1.40972e-11
397,22,-13,-1.25056e-11
398,21,-13,-1.13687e-11
399,20,-13,-1.20509e-11
400,19,-13,-1.25056e-11
401,18,-13,-1.34151e-11
402,17,-13,-1.34151e-11
403,16,-13,-1.4552e-11
404,15,-13,-1.86448e-11
405,14,-13,-2.84218e-11
406,13,-13,-2.38743e-11
407,12,-13,-1.50068e-11
408,11,-13,-1.11414e-11
409,10,-13,-7.50339e-12
410,9,-13,-5.457e-12
411,8,-13,-6.13912e-12
412,7,-13,-8.86763e-12
413,6,-13,-1.06866e-11
414,5,-13,-1.20509e-11
415,4,-13,-1.25056e-11
416,3,-13,-1.25056e-11
417,2,-13,-1.31877e-11
418,1,-13,-1.4552e-11
419,0,-13,-1.40972e-11
420,0,-14,-1.56889e-11
421,1,-14,-1.59163e-11
422,2,-14,-1.56889e-11
423,3,-14,-1.68258e-11
424,4,-14,-1.61436e-11
425,5,-14,-1.50068e-11
426,6,-14,-1.50068e-11
427,7,-14,-1.43246e-11
428,8,-14,-1.31877e-11
429,9,-14,-1.06866e-11
430,10,-14,-8.18551e-12
431,11,-14,-5.00225e-12
432,12,-14,-3.86538e-12
433,13,-14,-7.50339e-12
434,14,-14,-1.15961e-11
435,15,-14,-1.6371e-11
436,16,-14,-2.13732e-11
437,17,-14,-2.25101e-11
438,18,-14,-1.4552e-11
439,19,-14,-1.06866e-11
440,20,-14,-1.04592e-11
441,21,-14,-9.095e-12
442,22,-14,-1.02319e-11
443,23,-14,-1.25056e-11
444,24,-14,-1.4552e-11
445,25,-14,-1.47794e-11
446,26,-14,-1.43246e-11
447,27,-14,-1.43246e-11
448,28,-14,-1.59163e-11
449,29,-14,-1.6371e-11
450,29,-15,-1.88721e-11
451,28,-15,-2.0009e-11
452,27,-15,-2.0009e-11
453,26,-15,-2.0009e-11
454,25,-15,-1.86448e-11
455,24,-15,-1.88721e-11
456,23,-15,-1.86448e-11
457,22,-15,-1.72805e-11
458,21,-15,-1.4552e-11
459,20,-15,-1.20509e-11
460,19,-15,-1.00045e-11
461,18,-15,-7.73076e-12
462,17,-15,-7.50339e-12
463,16,-15,-8.18551e-12
464,15,-15,-8.18551e-12
465,14,-15,-1.22782e-11
466,13,-15,-1.90995e-11
467,12,-15,-1.88721e-11
468,11,-15,-1.52341e-11
469,10,-15,-1.15961e-11
470,9,-15,-7.27601e-12
471,8,-15,-4.5475e-12
472,7,-15,-3.18325e-12
473,6,-15,-7.73076e-12
474,5,-15,-1.13687e-11
475,4,-15,-1.38698e-11
476,3,-15,-1.36425e-11
477,2,-15,-1.52341e-11
478,1,-15,-1.52341e-11
479,0,-15,-1.72805e-11
480,0,-16,-1.79626e-11
481,1,-16,-1.84174e-11
482,2,-16,-1.819e-11
483,3,-16,-1.95542e-11
484,4,-16,-1.819e-11
485,5,-16,-1.65984e-11
486,6,-16,-1.6371e-11
487,7,-16,-1.56889e-11
488,8,-16,-1.2733e-11
489,9,-16,-8.64026e-12
490,10,-16,-4.32013e-12
491,11,-16,-4.32013e-12
492,12,-16,-5.91174e-12
493,13,-16,-9.54975e-12
494,14,-16,-1.40972e-11
495,15,-16,-1.61436e-11
496,16,-16,-1.47794e-11
497,17,-16,-1.18235e-11
498,18,-16,-7.50339e-12
499,19,-16,-4.5475e-12
500,20,-16,-5.91174e-12
501,21,-16,-6.59386e-12
502,22,-16,-8.18551e-12
503,23,-16,-1.04592e-11
504,24,-16,-1.25056e-11
505,25,-16,-1.56889e-11
506,26,-16,-1.72805e-11
507,27,-16,-2.11459e-11
508,28,-16,-2.34196e-11
509,29,-16,-2.52386e-11
510,29,-17,-2.91041e-11
511,28,-17,-3.18325e-11
512,27,-17,-3.25147e-11
513,26,-17,-3.20599e-11
514,25,-17,-3.02409e-11
515,24,-17,-2.56933e-11
516,23,-17,-2.04637e-11
517,22,-17,-1.61436e-11
518,21,-17,-1.2733e-11
519,20,-17,-1.13687e-11
520,19,-17,-8.41288e-12
521,18,-17,-7.04861e-12
522,17,-17,-5.22962e-12
523,16,-17,-3.18325e-12
524,15,-17,-2.50112e-12
525,14,-17,-7.27601e-12
526,13,-17,-8.41288e-12
527,12,-17,-1.00045e-11
528,11,-17,-1.29604e-11
529,10,-17,-1.38698e-11
530,9,-17,-1.13687e-11
531,8,-17,-6.82124e-12
532,7,-17,-4.09275e-12
533,6,-17,-4.09275e-12
534,5,-17,-9.32238e-12
535,4,-17,-1.40972e-11
536,3,-17,-1.65984e-11
537,2,-17,-1.79626e-11
538,1,-17,-1.75079e-11
539,0,-17,-1.84174e-11
540,0,-18,-2.0009e-11
541,1,-18,-2.04637e-11
542,2,-18,-2.1828e-11
543,3,-18,-2.11459e-11
544,4,-18,-2.06911e-11
545,5,-18,-2.0009e-11
546,6,-18,-2.0009e-11
547,7,-18,-1.6371e-11
548,8,-18,-1.18235e-11
549,9,-18,-5.22962e-12
550,10,-18,-7.95813e-12
551,11,-18,-1.22782e-11
552,12,-18,-1.56889e-11
553,13,-18,-1.79626e-11
554,14,-18,-7.27601e-12
555,15,-18,-4.54751e-13
556,16,-18,-1.59162e-12
557,17,-18,-7.04861e-12
558,18,-18,-2.95587e-12
559,19,-18,0.0
560,20,-18,-2.7285e-12
561,21,-18,-6.13912e-12
562,22,-18,-7.73076e-12
563,23,-18,-9.32238e-12
564,24,-18,-1.25056e-11
565,25,-18,-1.43246e-11
566,26,-18,-1.88721e-11
567,27,-18,-2.68302e-11
568,28,-18,-3.43336e-11
569,29,-18,-3.75169e-11
570,29,-19,-3.54705e-11
571,28,-19,-3.36515e-11
572,27,-19,-3.31968e-11
573,26,-19,-3.29694e-11
574,25,-19,-3.79716e-11
575,24,-19,-3.75169e-11
576,23,-19,-2.93314e-11
577,22,-19,-2.04637e-11
578,21,-19,-1.4552e-11
579,20,-19,-1.11414e-11
580,19,-19,-9.54975e-12
581,18,-19,-6.59386e-12
582,17,-19,-4.32013e-12
583,16,-19,-1.36425e-12
584,15,-19,2.04638e-12
585,14,-19,-5.68437e-12
586,13,-19,-4.5475e-12
587,12,-19,2.50112e-12
588,11,-19,-4.54751e-13
589,10,-19,-9.54975e-12
590,9,-19,-2.0009e-11
591,8,-19,-2.29649e-11
592,7,-19,-2.02364e-11
593,6,-19,-1.50068e-11
594,5,-19,-1.04592e-11
595,4,-19,-1.29604e-11
596,3,-19,-1.77353e-11
597,2,-19,-2.25101e-11
598,1,-19,-2.47838e-11
599,0,-19,-2.38743e-11
600,0,-20,-2.56933e-11
601,1,-20,-2.61481e-11
602,2,-20,-2.61481e-11
